BYYY BM BD BH EYYY EM ED EH  SST SSTANOM HOTSPOT  DHW   Lat    Lon Reef_Name
2003 03 22 00 2003 03 25 00 29.80   1.00   0.90  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 03 25 00 2003 03 29 01 29.50   0.80   0.60  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 03 29 01 2003 04 01 00 29.60   0.90   0.70  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 04 01 00 2003 04 05 01 29.60   1.00   0.70  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 04 05 01 2003 04 08 01 29.30   0.70   0.40  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 04 08 01 2003 04 12 00 29.10   0.60   0.20  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 04 12 00 2003 04 15 01 29.30   0.80   0.40  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 04 15 01 2003 04 19 00 29.50   1.10   0.60  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 04 19 00 2003 04 22 00 28.10  -0.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 04 22 00 2003 04 26 01 28.80   0.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 04 26 01 2003 04 29 00 28.80   0.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 04 29 00 2003 05 03 01 28.30   0.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 05 03 01 2003 05 06 00 28.60   0.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 05 06 00 2003 05 10 01 28.80   1.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 05 10 01 2003 05 12 23 28.30   0.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 05 12 23 2003 05 17 00 28.70   1.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 05 17 00 2003 05 19 23 28.70   1.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 05 19 23 2003 05 24 00 28.00   0.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 05 24 00 2003 05 27 00 28.00   1.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 05 27 00 2003 05 31 01 28.00   1.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 05 31 01 2003 06 03 00 27.80   1.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 06 03 00 2003 06 06 23 27.60   1.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 06 06 23 2003 06 10 01 27.10   1.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 06 10 01 2003 06 14 00 27.10   1.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 06 14 00 2003 06 17 01 27.20   1.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 06 17 01 2003 06 21 00 27.20   1.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 06 21 00 2003 06 24 01 27.30   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 06 24 01 2003 06 28 00 27.60   2.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 06 28 00 2003 07 01 00 27.60   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 07 01 00 2003 07 05 01 27.30   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 07 05 01 2003 07 08 00 27.10   1.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 07 08 00 2003 07 12 00 27.10   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 07 12 00 2003 07 15 01 27.30   2.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 07 15 01 2003 07 19 00 27.60   2.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 07 19 00 2003 07 21 23 27.30   2.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 07 21 23 2003 07 26 00 26.90   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 07 26 00 2003 07 29 00 27.00   1.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 07 29 00 2003 08 02 01 27.40   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 08 02 01 2003 08 05 00 27.40   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 08 05 00 2003 08 08 23 27.10   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 08 08 23 2003 08 12 00 27.00   1.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 08 12 00 2003 08 16 00 27.00   1.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 08 16 00 2003 08 19 01 27.30   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 08 19 01 2003 08 23 00 27.30   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 08 23 00 2003 08 25 23 27.60   2.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 08 25 23 2003 08 30 00 27.10   2.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 08 30 00 2003 09 02 00 27.70   2.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 09 02 00 2003 09 06 01 27.60   2.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 09 06 01 2003 09 09 00 27.60   2.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 09 09 00 2003 09 12 23 27.60   2.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 09 12 23 2003 09 16 00 27.10   2.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 09 16 00 2003 09 19 23 27.10   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 09 19 23 2003 09 23 01 27.10   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 09 23 01 2003 09 27 00 27.10   2.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 09 27 00 2003 09 29 23 27.10   2.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 09 29 23 2003 10 04 00 27.10   1.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 10 04 00 2003 10 07 00 27.10   1.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 10 07 00 2003 10 11 00 27.10   1.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 10 11 00 2003 10 14 00 27.10   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 10 14 00 2003 10 18 01 26.70   1.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 10 18 01 2003 10 21 00 26.70   1.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 10 21 00 2003 10 25 00 26.60   1.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 10 25 00 2003 10 28 01 27.00   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 10 28 01 2003 11 01 00 27.00   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 11 01 00 2003 11 03 23 27.10   1.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 11 03 23 2003 11 08 00 26.90   1.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 11 08 00 2003 11 11 00 26.90   1.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 11 11 00 2003 11 15 01 27.10   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 11 15 01 2003 11 18 00 27.20   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 11 18 00 2003 11 21 23 27.50   1.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 11 21 23 2003 11 25 01 27.10   1.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 11 25 01 2003 11 29 00 27.60   1.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 11 29 00 2003 12 01 23 27.30   1.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 12 01 23 2003 12 06 11 27.50   1.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 12 06 11 2003 12 09 06 27.10   0.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 12 09 06 2003 12 13 00 27.30   0.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 12 13 00 2003 12 16 00 27.30   0.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 12 16 00 2003 12 20 01 27.30   0.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 12 20 01 2003 12 23 00 27.50   0.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 12 23 00 2003 12 26 23 27.50   0.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 12 26 23 2003 12 29 23 27.40   0.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 12 29 23 2004 01 03 00 27.50   0.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 01 03 00 2004 01 05 23 28.40   1.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 01 05 23 2004 01 10 00 27.80   0.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 01 10 00 2004 01 13 00 28.20   0.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 01 13 00 2004 01 17 00 28.10   0.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 01 17 00 2004 01 20 00 28.10   0.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 01 20 00 2004 01 23 23 28.10   0.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 01 23 23 2004 01 27 00 28.10   0.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 01 27 00 2004 01 31 01 28.10   0.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 01 31 01 2004 02 03 01 28.10   0.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 02 03 01 2004 02 07 00 28.00  -0.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 02 07 00 2004 02 09 20 28.60   0.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 02 09 20 2004 02 14 00 28.60   0.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 02 14 00 2004 02 17 00 29.10   0.80   0.20  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 02 17 00 2004 02 21 01 29.10   0.70   0.20  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 02 21 01 2004 02 24 00 28.90   0.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 02 24 00 2004 02 27 23 29.30   0.70   0.40  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 02 27 23 2004 03 02 01 29.10   0.50   0.20  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 03 02 01 2004 03 06 00 29.10   0.40   0.20  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 03 06 00 2004 03 08 23 29.10   0.30   0.20  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 03 08 23 2004 03 13 00 29.40   0.50   0.50  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 03 13 00 2004 03 16 00 29.20   0.30   0.30  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 03 16 00 2004 03 20 00 29.10   0.30   0.20  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 03 20 00 2004 03 23 00 29.60   0.80   0.70  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 03 23 00 2004 03 26 11 29.70   1.00   0.80  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 03 26 11 2004 03 30 00 29.80   1.10   0.90  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 03 30 00 2004 04 03 01 29.50   0.80   0.60  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 04 03 01 2004 04 06 01 29.30   0.70   0.40  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 04 06 01 2004 04 10 00 29.30   0.70   0.40  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 04 10 00 2004 04 12 22 29.30   0.80   0.40  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 04 12 22 2004 04 17 00 28.90   0.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 04 17 00 2004 04 20 00 29.10   0.70   0.20  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 04 20 00 2004 04 24 01 28.70   0.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 04 24 01 2004 04 27 00 28.40   0.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 04 27 00 2004 05 01 01 28.70   0.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 05 01 01 2004 05 04 00 28.70   0.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 05 04 00 2004 05 08 00 28.20   0.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 05 08 00 2004 05 11 01 28.60   0.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 05 11 01 2004 05 15 00 28.50   0.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 05 15 00 2004 05 17 23 28.20   0.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 05 17 23 2004 05 22 00 28.20   0.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 05 22 00 2004 05 25 00 27.50   0.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 05 25 00 2004 05 29 01 27.40   0.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 05 29 01 2004 06 01 00 27.60   0.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 06 01 00 2004 06 05 01 27.50   1.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 06 05 01 2004 06 08 01 27.30   1.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 06 08 01 2004 06 12 00 27.40   1.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 06 12 00 2004 06 15 01 27.40   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 06 15 01 2004 06 19 00 27.50   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 06 19 00 2004 06 22 00 27.50   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 06 22 00 2004 06 26 00 27.80   2.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 06 26 00 2004 06 29 02 27.70   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 06 29 02 2004 07 03 01 27.70   2.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 07 03 01 2004 07 06 00 27.70   2.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 07 06 00 2004 07 10 01 27.50   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 07 10 01 2004 07 13 01 27.60   2.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 07 13 01 2004 07 17 02 27.90   2.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 07 17 02 2004 07 20 01 27.40   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 07 20 01 2004 07 24 00 27.40   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 07 24 00 2004 07 27 00 27.40   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 07 27 00 2004 07 31 01 26.90   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 07 31 01 2004 08 03 00 26.90   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 08 03 00 2004 08 07 01 26.60   1.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 08 07 01 2004 08 10 00 27.50   2.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 08 10 00 2004 08 14 01 27.40   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 08 14 01 2004 08 17 01 27.40   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 08 17 01 2004 08 21 00 26.10   0.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 08 21 00 2004 08 24 01 26.80   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 08 24 01 2004 08 28 00 26.80   1.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 08 28 00 2004 08 31 01 26.80   1.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 08 31 01 2004 09 04 00 26.90   1.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 09 04 00 2004 09 07 00 26.90   1.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 09 07 00 2004 09 11 01 26.90   1.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 09 11 01 2004 09 14 00 27.00   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 09 14 00 2004 09 18 01 26.80   1.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 09 18 01 2004 09 21 01 26.80   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 09 21 01 2004 09 25 00 27.00   2.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 09 25 00 2004 09 27 23 26.90   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 09 27 23 2004 10 01 22 26.60   1.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 10 01 22 2004 10 05 00 27.00   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 10 05 00 2004 10 09 00 27.00   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 10 09 00 2004 10 12 00 27.00   1.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 10 12 00 2004 10 16 01 27.10   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 10 16 01 2004 10 19 00 27.10   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 10 19 00 2004 10 22 23 27.00   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 10 22 23 2004 10 26 00 26.60   1.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 10 26 00 2004 10 30 00 26.90   1.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 10 30 00 2004 11 02 01 27.00   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 11 02 01 2004 11 06 00 27.00   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 11 06 00 2004 11 08 23 27.10   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 11 08 23 2004 11 13 00 27.10   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 11 13 00 2004 11 16 00 27.10   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 11 16 00 2004 11 20 01 27.10   1.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 11 20 01 2004 11 23 00 27.40   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 11 23 00 2004 11 27 01 27.30   1.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 11 27 01 2004 11 30 00 27.00   0.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 11 30 00 2004 12 04 00 27.60   1.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 12 04 00 2004 12 07 01 27.90   1.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 12 07 01 2004 12 11 00 28.10   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 12 11 00 2004 12 14 01 27.50   0.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 12 14 01 2004 12 18 00 27.60   0.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 12 18 00 2004 12 21 00 28.00   1.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 12 21 00 2004 12 25 01 28.10   1.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 12 25 01 2004 12 28 00 28.10   1.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2004 12 28 00 2005 01 01 01 28.00   0.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 01 01 01 2005 01 04 00 28.00   0.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 01 04 00 2005 01 08 00 28.50   1.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 01 08 00 2005 01 11 01 28.20   0.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 01 11 01 2005 01 15 00 28.30   0.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 01 15 00 2005 01 18 01 28.50   0.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 01 18 01 2005 01 22 00 27.80   0.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 01 22 00 2005 01 25 02 27.80   0.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 01 25 02 2005 01 29 01 28.00   0.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 01 29 01 2005 02 01 00 28.40   0.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 02 01 00 2005 02 04 23 28.60   0.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 02 04 23 2005 02 08 00 28.50   0.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 02 08 00 2005 02 12 01 29.00   0.80   0.10  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 02 12 01 2005 02 15 01 28.80   0.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 02 15 01 2005 02 19 02 29.00   0.60   0.10  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 02 19 02 2005 02 22 01 28.90   0.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 02 22 01 2005 02 26 01 28.70   0.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 02 26 01 2005 03 01 02 29.00   0.40   0.10  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 03 01 02 2005 03 05 01 28.70   0.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 03 05 01 2005 03 08 00 29.10   0.40   0.20  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 03 08 00 2005 03 11 23 28.60  -0.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 03 11 23 2005 03 15 01 28.60  -0.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 03 15 01 2005 03 19 00 29.00   0.20   0.10  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 03 19 00 2005 03 22 01 29.10   0.29   0.20  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 03 22 01 2005 03 26 00 29.10   0.34   0.20  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 03 26 00 2005 03 29 01 28.80   0.08   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 03 29 01 2005 04 02 01 28.80   0.13   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 04 02 01 2005 04 05 00 28.90   0.27   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 04 05 00 2005 04 09 01 28.70   0.12   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 04 09 01 2005 04 12 00 28.80   0.26   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 04 12 00 2005 04 16 01 28.80   0.33   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 04 16 01 2005 04 19 01 28.80   0.41   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 04 19 01 2005 04 23 02 28.80   0.51   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 04 23 02 2005 04 26 01 29.00   0.79   0.10  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 04 26 01 2005 04 30 00 29.30   1.20   0.40  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 04 30 00 2005 05 03 01 29.40   1.38   0.50  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 05 03 01 2005 05 07 01 29.40   1.49   0.50  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 05 07 01 2005 05 10 02 29.40   1.57   0.50  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 05 10 02 2005 05 14 01 28.90   1.17   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 05 14 01 2005 05 17 00 28.90   1.32   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 05 17 00 2005 05 21 00 28.30   0.97   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 05 21 00 2005 05 24 01 28.30   1.15   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 05 24 01 2005 05 28 00 28.60   1.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 05 28 00 2005 05 31 01 28.60   1.88   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 05 31 01 2005 06 04 02 28.60   2.13   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 06 04 02 2005 06 07 00 28.60   2.31   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 06 07 00 2005 06 11 01 28.30   2.25   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 06 11 01 2005 06 14 02 28.20   2.34   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 06 14 02 2005 06 18 01 28.20   2.45   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 06 18 01 2005 06 21 00 28.20   2.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 06 21 00 2005 06 25 01 28.20   2.57   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 06 25 01 2005 06 28 01 28.20   2.62   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 06 28 01 2005 07 02 02 27.70   2.18   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 07 02 02 2005 07 05 01 27.30   1.83   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2005 07 05 01 2005 07 09 02 28.20   2.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
