BYYY BM BD BH EYYY EM ED EH  SST SSTANOM HOTSPOT  DHW   Lat    Lon Reef_Name
2001 06 05 00 2001 06 08 23 27.60   1.40   0.00  0.50   5.5  -87.0 Isla del Coco, Costa Rica
2001 06 08 23 2001 06 12 00 27.50   1.50   0.00  0.50   5.5  -87.0 Isla del Coco, Costa Rica
2001 06 12 00 2001 06 16 00 27.90   2.10   0.00  0.50   5.5  -87.0 Isla del Coco, Costa Rica
2001 06 16 00 2001 06 18 23 27.80   2.10   0.00  0.50   5.5  -87.0 Isla del Coco, Costa Rica
2001 06 18 23 2001 06 23 00 27.80   2.10   0.00  0.50   5.5  -87.0 Isla del Coco, Costa Rica
2001 06 23 00 2001 06 26 00 27.40   1.80   0.00  0.50   5.5  -87.0 Isla del Coco, Costa Rica
2001 06 26 00 2001 06 29 23 27.70   2.10   0.00  0.50   5.5  -87.0 Isla del Coco, Costa Rica
2001 06 29 23 2001 07 03 00 27.70   2.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 07 03 00 2001 07 06 23 27.20   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 07 06 23 2001 07 09 23 27.10   1.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 07 09 23 2001 07 14 00 27.10   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 07 14 00 2001 07 16 23 27.20   1.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 07 16 23 2001 07 21 00 27.10   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 07 21 00 2001 07 24 00 27.80   2.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 07 24 00 2001 07 27 23 27.40   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 07 27 23 2001 07 30 23 27.70   2.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 07 30 23 2001 08 04 00 27.20   1.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 08 04 00 2001 08 06 23 27.20   1.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 08 06 23 2001 08 11 00 27.10   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
