VernacularNameCategory,ScientificName,Species,IndividualCount,CategoricalAbundance,Density,Condition,Temperature,Locality,ObservationYear,latitude,longitude
,,,,,,,,,,degrees_north,degrees_east
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.70147,-122.01386
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.70196,-122.0145
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.70186,-122.01392
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.70188,-122.01375
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.70047,-122.01101
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,5.8,NA,1991,36.78458,-122.04293
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,5.8,NA,1991,36.7843,-122.04253
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,5.8,NA,1991,36.78449,-122.0428
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.69911,-122.01175
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,5.9,NA,1991,36.78469,-122.04296
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.69911,-122.01176
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,5.3,Monterey Bay,1991,36.78721,-122.04236
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,4.6,Monterey Bay,1991,36.75721,-122.04667
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,5.4,Monterey Bay,1991,36.78725,-122.04215
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.69602,-122.00183
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.6,Monterey Bay,1991,36.78976,-122.04469
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.2,Monterey Bay,1991,36.78952,-122.04602
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.5,Monterey Bay,1991,36.78932,-122.04473
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.3,Monterey Bay,1991,36.78932,-122.04631
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.8,Monterey Bay,1991,36.78919,-122.04548
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.6,Monterey Bay,1991,36.78951,-122.04472
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.7,Monterey Bay,1991,36.78948,-122.04503
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.5,Monterey Bay,1991,36.78936,-122.04465
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.2,Monterey Bay,1991,36.78949,-122.04603
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.69728,-122.00326
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.8,Monterey Bay,1991,36.78957,-122.04546
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.69547,-122.00197
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.6,NA,1991,36.69653,-122.00297
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.6,Monterey Bay,1991,36.78964,-122.04508
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.7,Monterey Bay,1991,36.78953,-122.04512
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.7,NA,1991,36.69635,-122.0025
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.8,Monterey Bay,1991,36.78979,-122.04557
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.3,Monterey Bay,1991,36.78983,-122.04662
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.69641,-122.00248
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.3,Monterey Bay,1991,36.78984,-122.04661
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.6,NA,1991,36.69635,-122.00298
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.6,Monterey Bay,1991,36.78986,-122.04471
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.4,Monterey Bay,1991,36.79073,-122.04657
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.5,Monterey Bay,1991,36.79067,-122.04679
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.6,Monterey Bay,1991,36.79051,-122.04732
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.6,Monterey Bay,1991,36.79054,-122.04742
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.70084,-122.01113
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.69686,-122.01617
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,4.2,NA,1991,36.70049,-122.01134
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.69649,-122.01664
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.70032,-122.01112
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.69912,-122.01179
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,4.2,NA,1991,36.70047,-122.0111
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,4.2,NA,1991,36.69972,-122.01047
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,4.2,NA,1991,36.69982,-122.011
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,4.2,NA,1991,36.70023,-122.01162
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,4.2,NA,1991,36.69984,-122.01041
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,4.2,NA,1991,36.69993,-122.01065
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.69645,-122.0165
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.75632,-121.97241
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.75515,-121.97152
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,4.2,NA,1991,52.82142,-171.361
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.75612,-121.97252
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.75555,-121.97118
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.75588,-121.97261
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.69635,-122.01637
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.69644,-122.01631
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.69642,-122.01634
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.6967,-122.016
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.69689,-122.00049
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,4.1,NA,1991,52.78816,-171.60667
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.69664,-122.01624
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.6966,-122.0156
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.69652,-122.01646
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.6965,-122.01607
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.69665,-122.0159
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,4.6,NA,1991,52.87392,-169.9085
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.69665,-122.01625
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,7.4,NA,1991,59.65708,-165.96458
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,4.1,NA,1991,52.4875,-172.32883
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,4.6,NA,1991,52.89375,-169.97642
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,4.2,NA,1991,52.69058,-170.83008
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,4.1,NA,1991,52.31309,-170.71958
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1991,52.333,179.63134
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1991,52.04675,-172.25216
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1991,51.58825,-177.75908
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,4.4,NA,1991,51.97109,-172.66117
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,4.4,NA,1991,51.96592,-172.62275
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,4.3,NA,1991,52.14883,-172.46342
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1991,51.89041,-173.31366
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,4.1,NA,1991,52.20867,-172.697
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1991,51.64275,-178.16066
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1991,52.15833,179.75059
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1991,51.77417,-177.48567
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1991,52.67184,-179.35759
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1991,52.04967,-179.88034
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1991,52.03592,-179.821
